Mairie,Gare,12,2025-10-01,2.8
Gare,Stade,8,2025-10-01,1.6
Mairie,Stade,15,2025-10-01,3.5
Université,Gare,10,2025-10-01,2.3
Mairie,Parc,6,2025-10-02,1.2
Parc,Mairie,7,2025-10-02,1.3
Gare,Université,9,2025-10-02,2.2
Université,Stade,12,2025-10-02,3.0
Gare,Musée,14,2025-10-03,3.4
Musée,Mairie,10,2025-10-03,2.1
Marché,Gare,8,2025-10-03,1.9
Gare,Stade,5,2025-10-03,1.0
Mairie,Gare,10,2025-10-04,3.0
Gare,Parc,5,2025-10-04,1.1
Parc,Mairie,7,2025-10-04,1.3
Piscine,Gare,9,2025-10-04,2.5
Gare,Piscine,8,2025-10-05,2.4
Piscine,Université,11,2025-10-05,2.8
Université,Stade,10,2025-10-05,3.2
Stade,Marché,9,2025-10-05,2.0
Marché,Mairie,7,2025-10-06,1.8
Mairie,Musée,10,2025-10-06,2.5
Musée,Gare,11,2025-10-06,2.7
Gare,Stade,9,2025-10-06,2.3
Université,Mairie,13,2025-10-07,3.1
Mairie,Gare,10,2025-10-07,2.8
Gare,Marché,8,2025-10-07,2.0
Marché,Université,14,2025-10-07,3.6
Parc,Musée,6,2025-10-08,1.4
Musée,Université,10,2025-10-08,2.8
Université,Gare,9,2025-10-08,2.4
Gare,Stade,8,2025-10-08,1.9
Piscine,Gare,10,2025-10-09,2.5
Gare,Mairie,12,2025-10-09,3.0
Mairie,Marché,9,2025-10-09,2.1
Marché,Stade,7,2025-10-09,1.8
Gare,Université,14,2025-10-10,3.2
Université,Musée,11,2025-10-10,2.9
Musée,Parc,8,2025-10-10,2.0
Parc,Gare,9,2025-10-10,2.1
